row	col	x1	y1	x2	y2	x3	y3
A	1	488	268	864	676	738	538
A	2	1272	280	1660	692	1555	538
A	3	2064	280	2456	716	2353	538
A	4	2852	304	3248	740	3119	550
B	1	100	644	468	1056	345	931
B	2	864	676	1252	1068	1155	927
B	3	1660	692	2048	1092	1960	935
B	4	2456	716	2852	1108	2746	923
B	5	3248	740	3652	1144	3497	935
C	1	468	1056	836	1452	750	1332
C	2	1252	1068	1632	1476	1559	1320
C	3	2048	1092	2440	1496	2357	1316
C	4	2852	1108	3232	1508	3135	1312
D	1	100	1436	464	1820	357	1709
D	2	836	1452	1236	1848	1155	1713
D	3	1632	1476	2032	1876	1968	1717
D	4	2440	1496	2828	1884	2750	1693
D	5	3232	1508	3656	1908	3500	1673
E	1	464	1820	848	2220	770	2106
E	2	1236	1848	1616	2240	1575	2098
E	3	2032	1876	2424	2264	2365	2090
E	4	2828	1884	3188	2272	3143	2062
F	1	100	2196	456	2600	381	2491
F	2	848	2220	1228	2648	1182	2475
F	3	1616	2240	2000	2664	1972	2451
F	4	2424	2264	2788	2692	2762	2444
F	5	3188	2272	3592	2696	3497	2404
