row	col	x1	y1	x2	y2	x3	y3
A	1	488	268	864	676	608	488
A	2	1272	280	1660	692	1408	500
A	3	2064	280	2456	716	2196	516
A	4	2852	304	3248	740	2988	548
B	1	100	644	468	1056	224	872
B	2	864	676	1252	1068	1000	880
B	3	1660	692	2048	1092	1792	892
B	4	2456	716	2852	1108	2588	912
B	5	3248	740	3652	1144	3364	936
C	1	468	1056	836	1452	600	1264
C	2	1252	1068	1632	1476	1388	1280
C	3	2048	1092	2440	1496	2184	1296
C	4	2852	1108	3232	1508	2976	1300
D	1	100	1436	464	1820	212	1640
D	2	836	1452	1236	1848	984	1664
D	3	1632	1476	2032	1876	1772	1672	
D	4	2440	1496	2828	1884	2576	1680
D	5	3232	1508	3656	1908	3340	1692
E	1	464	1820	848	2220	600	2028
E	2	1236	1848	1616	2240	1376	2044
E	3	2032	1876	2424	2264	2172	2056
E	4	2828	1884	3188	2272	2948	2060
F	1	100	2196	456	2600	216	2388
F	2	848	2220	1228	2648	992	2408
F	3	1616	2240	2000	2664	1776	2432
F	4	2424	2264	2788	2692	2556	2432
F	5	3188	2272	3592	2696	3324	2420
